Chart,Practice,Code Smells,Total Lines,Ratio
backstage,standard_labels,27,1336,2.02%
backstage,count_embedded_objects,9,1336,0.67%
backstage,count_http_only_repositories,0,1336,0.00%
backstage,count_nonrange_versions,2,1336,0.15%
backstage,count_tabs,0,1336,0.00%
backstage,has_helper_file,1,1336,0.07%
backstage,include_indent_required,19,1336,1.42%
backstage,chart_name_format,0,1336,0.00%
backstage,namespaced_template_definitions,0,1336,0.00%
base,configmap_sensitive_values,0,18389,0.00%
base,standard_labels,17,18389,0.09%
base,count_embedded_objects,1,18389,0.01%
base,count_http_only_repositories,0,18389,0.00%
base,count_nonrange_versions,0,18389,0.00%
base,count_tabs,0,18389,0.00%
base,has_helper_file,1,18389,0.01%
base,include_indent_required,0,18389,0.00%
base,chart_name_format,0,18389,0.00%
base,namespaced_template_definitions,0,18389,0.00%
capsule,configmap_sensitive_values,0,7482,0.00%
capsule,standard_labels,17,7482,0.23%
capsule,count_embedded_objects,12,7482,0.16%
capsule,count_http_only_repositories,0,7482,0.00%
capsule,count_nonrange_versions,1,7482,0.01%
capsule,count_tabs,0,7482,0.00%
capsule,has_helper_file,0,7482,0.00%
capsule,include_indent_required,76,7482,1.02%
capsule,chart_name_format,0,7482,0.00%
capsule,namespaced_template_definitions,0,7482,0.00%
capsule-proxy,configmap_sensitive_values,0,2271,0.00%
capsule-proxy,standard_labels,11,2271,0.48%
capsule-proxy,count_embedded_objects,19,2271,0.84%
capsule-proxy,count_http_only_repositories,0,2271,0.00%
capsule-proxy,count_nonrange_versions,0,2271,0.00%
capsule-proxy,count_tabs,0,2271,0.00%
capsule-proxy,has_helper_file,0,2271,0.00%
capsule-proxy,include_indent_required,67,2271,2.95%
capsule-proxy,chart_name_format,0,2271,0.00%
capsule-proxy,namespaced_template_definitions,0,2271,0.00%
cert-manager,configmap_sensitive_values,0,16776,0.00%
cert-manager,standard_labels,3,16776,0.02%
cert-manager,count_embedded_objects,14,16776,0.08%
cert-manager,count_http_only_repositories,0,16776,0.00%
cert-manager,count_nonrange_versions,0,16776,0.00%
cert-manager,count_tabs,0,16776,0.00%
cert-manager,has_helper_file,1,16776,0.01%
cert-manager,include_indent_required,228,16776,1.36%
cert-manager,chart_name_format,0,16776,0.00%
cert-manager,namespaced_template_definitions,0,16776,0.00%
cert-manager-csi-driver,configmap_sensitive_values,0,569,0.00%
cert-manager-csi-driver,standard_labels,0,569,0.00%
cert-manager-csi-driver,count_embedded_objects,7,569,1.23%
cert-manager-csi-driver,count_http_only_repositories,0,569,0.00%
